Sl.No.,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
190,GP,M,17,U,GT3,T,1,1,other,other,father,1,2,0,no,no,yes,no,yes,yes,no,4,3,3,1,2,4,2,12,10,11
191,GP,M,17,U,GT3,T,1,3,at_home,services,father,1,1,0,no,no,no,no,no,yes,no,5,3,3,1,4,2,2,10,10,10
192,GP,M,17,U,GT3,T,3,3,services,services,mother,1,2,0,no,yes,no,yes,yes,yes,yes,4,3,4,2,3,4,12,12,12,11
193,GP,F,17,U,GT3,A,3,3,health,other,mother,1,2,0,no,yes,no,no,yes,yes,yes,3,3,3,1,3,3,6,8,7,9
194,GP,M,17,R,LE3,T,2,1,at_home,other,mother,2,1,2,no,no,no,yes,no,yes,yes,3,3,2,2,2,5,0,7,6,0
195,GP,M,17,R,LE3,T,1,1,other,services,mother,4,2,3,no,no,no,yes,no,no,yes,5,3,5,1,5,5,0,5,8,7
196,GP,F,17,R,GT3,T,4,3,teacher,other,mother,2,3,0,no,yes,yes,yes,yes,yes,yes,4,4,2,1,1,4,6,7,7,7
197,GP,M,17,U,GT3,T,4,3,other,other,mother,1,2,0,no,yes,no,yes,yes,yes,yes,5,2,3,1,1,2,4,10,10,11
198,GP,F,17,U,GT3,T,4,4,services,teacher,mother,2,1,1,no,yes,no,no,yes,yes,no,4,2,4,2,3,2,24,18,18,18
199,GP,F,17,R,GT3,T,2,2,other,other,mother,1,1,0,no,yes,no,no,yes,yes,no,5,3,2,1,2,3,18,7,6,6
200,GP,M,17,U,LE3,T,4,3,teacher,other,mother,2,2,0,no,no,yes,yes,yes,yes,no,4,4,4,4,4,4,4,10,9,9
201,GP,M,17,U,GT3,T,3,2,services,services,mother,1,1,3,no,yes,no,yes,yes,yes,no,5,5,5,2,4,5,16,6,5,5
202,GP,M,17,U,GT3,T,3,3,other,other,father,1,2,0,no,no,no,yes,yes,yes,no,4,3,4,1,4,4,4,6,5,6
203,GP,M,17,U,LE3,T,2,2,other,other,father,1,2,0,no,no,yes,yes,yes,yes,yes,4,4,2,5,5,4,4,14,13,13
204,GP,F,17,U,GT3,T,3,2,other,other,mother,1,2,0,no,no,no,yes,yes,yes,no,5,3,4,1,3,3,10,16,15,15
205,GP,F,17,R,GT3,T,3,4,at_home,services,father,1,3,0,no,yes,yes,yes,yes,yes,no,4,3,4,2,5,5,0,11,11,10
206,MS,F,17,R,GT3,T,3,1,at_home,other,mother,1,2,0,no,yes,yes,yes,yes,yes,no,4,5,4,2,3,1,17,10,10,10
207,GP,F,17,U,GT3,T,1,1,other,other,mother,1,2,0,no,yes,yes,no,yes,no,no,4,4,4,1,3,1,4,9,9,10
208,GP,F,17,U,GT3,T,3,4,at_home,services,mother,1,3,1,no,yes,yes,no,yes,yes,yes,4,4,3,3,4,5,28,10,9,9
209,GP,F,17,R,GT3,T,2,1,at_home,services,mother,2,2,0,no,yes,no,yes,yes,yes,no,4,2,5,1,2,5,2,6,6,6
210,GP,F,17,U,GT3,T,1,1,at_home,services,mother,1,2,0,no,no,no,yes,yes,yes,no,5,3,3,1,1,3,0,8,8,9
211,GP,M,17,R,GT3,T,2,2,other,other,father,2,2,0,no,yes,yes,yes,yes,yes,no,4,5,2,1,1,1,4,11,11,11
212,GP,M,17,U,GT3,T,4,4,teacher,teacher,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,4,5,5,1,3,2,14,11,9,9
213,GP,F,17,R,LE3,T,4,4,services,other,mother,1,1,0,no,yes,yes,no,yes,no,no,5,2,1,1,2,3,12,8,10,10
214,GP,F,17,U,GT3,T,2,2,at_home,at_home,mother,1,3,0,no,yes,yes,yes,yes,yes,no,4,3,3,1,1,4,4,9,10,10
215,GP,F,17,U,GT3,T,2,3,at_home,other,father,2,1,0,no,yes,yes,no,yes,no,no,3,3,3,1,4,3,3,7,7,8
216,GP,M,17,U,LE3,T,4,4,services,other,mother,1,2,0,no,yes,yes,no,yes,yes,yes,5,3,5,4,5,3,13,12,12,13
217,GP,M,17,U,LE3,T,4,4,teacher,other,mother,1,2,0,no,yes,yes,yes,yes,yes,no,4,4,4,1,3,5,0,13,11,10
218,GP,F,17,U,LE3,T,3,2,other,other,mother,2,2,0,no,no,yes,no,yes,yes,no,4,4,4,1,3,1,2,14,15,15
219,GP,M,17,U,GT3,T,2,1,other,other,mother,1,1,3,no,yes,no,no,yes,yes,no,5,4,5,1,2,5,0,5,0,0
220,GP,F,17,U,GT3,T,4,4,other,teacher,mother,1,1,0,yes,yes,no,no,yes,no,yes,4,2,1,1,1,4,0,11,11,12
221,GP,F,17,U,GT3,T,4,3,other,other,mother,1,2,2,no,no,yes,no,yes,yes,yes,3,4,5,2,4,1,22,6,6,4
222,GP,M,17,U,GT3,T,2,1,other,other,mother,2,1,3,yes,yes,no,yes,no,yes,no,4,5,1,1,1,3,2,8,8,10
223,GP,M,17,R,GT3,T,1,2,at_home,other,mother,1,2,0,no,no,no,no,yes,no,no,3,1,3,1,5,3,4,8,9,10
224,GP,F,17,U,GT3,T,2,4,services,services,father,1,2,0,no,yes,no,yes,yes,no,no,5,4,2,2,3,5,0,16,17,17
225,GP,M,17,U,LE3,T,2,3,services,services,father,1,2,0,no,yes,yes,no,yes,yes,no,5,3,3,1,3,3,2,12,11,12
226,GP,M,17,R,GT3,T,3,4,at_home,other,mother,3,2,0,no,no,no,no,yes,no,no,5,4,5,2,4,5,0,10,0,0
227,MS,M,17,U,LE3,T,3,1,services,services,mother,2,1,0,no,no,no,no,yes,yes,no,2,4,5,3,4,2,3,14,16,16
228,GP,F,17,U,GT3,A,2,1,other,other,mother,2,3,0,no,no,no,yes,yes,yes,yes,3,2,3,1,2,3,10,12,10,12
229,GP,F,17,U,LE3,T,4,3,health,other,father,1,2,0,no,no,no,yes,yes,yes,yes,3,2,3,1,2,3,14,13,13,14
230,GP,M,17,R,LE3,T,1,2,other,other,mother,1,1,0,no,no,no,no,yes,no,no,2,2,2,3,3,5,8,16,12,13
231,MS,M,17,U,GT3,T,2,3,other,services,father,2,2,0,no,no,no,yes,yes,yes,no,4,4,3,1,1,3,2,11,11,10
232,GP,F,17,U,GT3,A,4,3,services,services,mother,1,2,0,no,yes,yes,no,yes,yes,yes,5,2,2,1,2,5,23,13,13,13
233,GP,F,17,U,GT3,T,1,1,at_home,other,mother,1,3,1,no,yes,no,yes,yes,no,yes,4,3,4,1,1,5,0,6,5,0
234,GP,M,17,R,GT3,T,1,3,other,other,father,3,2,1,no,yes,no,yes,yes,yes,no,5,2,4,1,4,5,20,9,7,8
235,GP,M,17,U,GT3,T,4,4,services,teacher,mother,1,1,0,no,no,no,no,yes,yes,no,5,2,3,1,2,5,4,17,15,16
236,GP,M,17,U,GT3,T,2,3,other,other,father,2,1,0,no,no,no,no,yes,yes,no,5,2,2,1,1,2,4,12,12,13
237,GP,F,17,U,LE3,T,2,2,services,other,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,4,4,4,2,3,5,6,12,12,12
238,GP,F,17,U,LE3,T,2,2,other,other,father,1,1,0,no,yes,no,no,yes,yes,yes,3,4,4,1,3,5,12,10,13,12
239,GP,F,17,U,GT3,T,1,1,at_home,other,father,1,2,0,no,yes,no,no,yes,yes,no,5,3,3,1,1,3,4,5,5,6
240,GP,F,17,U,GT3,T,4,3,health,services,mother,1,3,0,no,yes,yes,no,yes,yes,no,4,2,2,1,2,3,0,15,15,15
241,GP,F,17,U,GT3,T,3,3,other,other,mother,1,3,0,no,no,no,yes,yes,no,no,3,2,3,1,1,4,4,10,9,9
242,GP,M,17,U,GT3,T,3,3,other,services,mother,1,1,0,no,no,no,yes,yes,yes,no,4,3,5,3,5,5,3,14,15,16
243,GP,F,17,U,GT3,T,3,1,services,services,father,1,3,0,no,yes,no,no,yes,yes,no,3,4,3,2,3,5,1,12,14,15
244,GP,F,17,U,LE3,T,0,2,at_home,at_home,father,2,3,0,no,no,no,no,yes,yes,no,3,3,3,2,3,2,0,16,15,15
245,GP,F,17,R,LE3,T,2,2,services,services,mother,1,3,0,no,yes,yes,yes,yes,yes,no,3,3,2,2,2,3,3,11,11,11
246,MS,F,17,R,GT3,T,4,4,teacher,services,father,2,2,0,no,yes,yes,yes,yes,yes,no,4,3,3,1,2,5,4,12,13,13
247,MS,F,17,R,GT3,T,1,1,other,services,mother,3,1,1,no,yes,yes,no,yes,yes,yes,5,2,1,1,2,1,0,7,6,0
248,GP,F,17,U,GT3,T,2,2,other,other,mother,1,2,0,no,yes,no,no,yes,no,yes,4,2,2,1,1,3,12,11,9,9
249,MS,F,17,U,LE3,T,4,4,at_home,at_home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,2,3,4,1,1,1,0,16,15,15
250,GP,M,17,U,LE3,T,4,3,health,other,mother,2,2,0,no,no,no,yes,yes,yes,yes,2,5,5,1,4,5,14,12,12,12
251,MS,F,17,R,GT3,T,1,2,other,services,father,2,2,0,no,no,no,no,yes,no,no,3,2,2,1,2,3,0,12,11,12
252,GP,F,17,R,GT3,T,2,1,at_home,services,mother,3,2,0,no,no,no,yes,yes,no,no,2,1,1,1,1,3,2,13,11,11
253,GP,M,17,R,LE3,A,4,4,teacher,other,mother,2,2,0,no,yes,yes,no,yes,yes,no,3,3,3,2,3,4,2,10,11,12
254,MS,F,17,U,GT3,T,2,2,other,at_home,mother,1,3,0,no,no,no,yes,yes,no,yes,3,4,3,1,1,3,8,13,11,11
255,GP,F,17,U,LE3,T,4,2,teacher,services,mother,1,4,0,no,yes,yes,yes,yes,yes,no,4,2,3,1,1,4,6,14,12,13
256,MS,F,17,R,GT3,T,1,2,other,other,mother,1,1,0,no,no,no,yes,yes,yes,no,3,5,5,1,3,1,14,6,5,5
257,GP,M,17,U,LE3,T,1,1,health,other,mother,2,1,1,no,yes,no,yes,yes,yes,no,4,4,4,1,2,5,2,7,9,8
258,GP,F,17,U,GT3,A,4,4,other,teacher,mother,2,2,0,yes,yes,no,no,yes,no,no,4,1,4,1,1,1,6,6,5,6
259,GP,F,17,U,GT3,A,2,2,at_home,at_home,father,1,2,1,no,yes,no,no,yes,yes,yes,3,3,1,1,2,4,0,9,8,0
260,GP,F,17,R,LE3,T,3,1,services,other,mother,2,4,0,no,yes,yes,no,yes,no,no,3,1,2,1,1,3,6,18,18,18
261,MS,F,17,U,LE3,A,3,2,services,other,mother,2,2,0,no,no,no,no,yes,no,yes,1,2,3,1,2,5,2,12,12,11
262,MS,M,17,R,GT3,T,4,3,services,other,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,4,5,5,1,3,2,4,13,11,11
263,MS,M,17,U,GT3,T,3,3,health,other,mother,2,2,0,no,yes,yes,no,yes,yes,no,4,5,4,2,3,3,2,13,13,13
264,GP,M,17,R,GT3,T,1,2,at_home,at_home,mother,1,2,0,no,yes,yes,yes,yes,no,yes,3,5,2,2,2,1,2,15,14,14
265,GP,F,17,U,GT3,T,4,4,teacher,services,mother,1,3,0,no,yes,yes,yes,yes,yes,no,5,4,4,1,3,4,7,10,9,9
266,GP,M,17,R,GT3,T,2,2,services,other,mother,4,1,0,no,yes,no,no,yes,yes,no,4,4,5,5,5,4,8,11,10,10
267,GP,M,17,U,LE3,A,4,1,services,other,mother,2,1,0,no,no,yes,yes,yes,yes,yes,4,5,4,2,4,5,30,8,8,8
268,GP,M,17,U,LE3,A,3,2,teacher,services,mother,1,1,1,no,no,no,no,yes,yes,no,4,4,4,3,4,3,19,11,9,10
269,GP,F,17,U,GT3,T,4,3,health,other,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,4,4,3,1,3,4,0,13,15,15
270,GP,F,17,U,GT3,T,2,2,other,other,mother,1,2,0,no,yes,no,no,yes,yes,no,5,4,5,1,2,5,4,10,9,11
271,GP,F,17,U,GT3,T,1,1,services,teacher,mother,1,3,0,no,yes,yes,no,yes,yes,no,4,3,3,1,1,3,6,13,12,12
272,GP,M,17,U,GT3,T,3,1,services,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,5,4,4,3,4,5,2,9,9,10
273,GP,F,17,U,LE3,T,2,2,services,services,father,1,4,0,no,no,yes,yes,yes,yes,yes,3,4,1,1,1,2,0,10,9,0
274,GP,F,17,U,GT3,T,2,4,at_home,health,mother,2,2,0,no,yes,yes,no,yes,yes,yes,4,3,3,1,1,1,2,10,10,10
275,GP,M,17,R,GT3,T,2,1,other,other,mother,1,1,0,no,no,no,no,yes,yes,no,4,4,2,2,4,5,0,8,12,12
276,GP,F,17,R,GT3,A,3,2,other,other,mother,1,2,0,no,yes,yes,no,yes,yes,no,4,3,3,2,3,2,4,9,10,10
277,GP,F,17,U,GT3,T,3,4,services,other,mother,1,3,0,no,no,no,no,yes,yes,no,4,4,5,1,3,5,16,16,15,15
278,GP,F,17,U,GT3,T,3,2,other,other,mother,1,2,0,no,yes,yes,no,yes,yes,yes,4,3,2,2,3,2,0,7,8,0
279,GP,M,17,U,GT3,T,3,3,health,other,mother,1,1,0,no,yes,yes,no,yes,yes,no,4,4,3,1,3,5,4,14,12,11
280,GP,M,17,U,LE3,T,4,4,other,teacher,father,2,1,0,no,no,yes,no,yes,yes,no,4,1,1,2,2,5,0,11,11,10
281,GP,F,17,R,GT3,T,2,4,at_home,other,father,1,3,0,no,yes,no,no,yes,yes,yes,4,4,3,1,1,5,7,12,14,14
282,GP,F,17,U,GT3,T,4,2,other,other,mother,2,3,0,no,yes,yes,no,yes,yes,no,4,3,3,1,1,3,0,15,12,14
283,GP,F,17,U,GT3,T,3,2,health,health,father,1,4,0,no,yes,yes,yes,yes,yes,no,5,2,2,1,2,5,0,17,17,18
284,GP,F,17,U,GT3,T,4,4,teacher,teacher,mother,2,3,0,no,yes,yes,no,yes,yes,yes,4,3,3,1,2,4,4,14,14,14
285,GP,M,18,U,LE3,T,3,3,services,health,father,1,2,1,no,yes,yes,no,yes,yes,no,3,2,4,2,4,4,13,6,6,8
286,GP,M,18,U,GT3,T,2,2,other,other,mother,2,2,0,no,yes,yes,no,yes,yes,no,3,3,3,5,5,4,0,12,13,13
287,GP,M,18,U,GT3,T,2,2,other,services,father,1,2,1,no,no,no,no,no,yes,no,5,5,4,3,5,2,0,7,7,0
288,GP,F,18,U,GT3,T,2,1,other,other,other,2,3,0,no,yes,yes,no,yes,yes,yes,4,4,4,1,1,3,0,7,0,0
289,GP,M,18,R,LE3,T,3,3,other,services,mother,1,2,1,no,yes,no,no,yes,yes,yes,4,3,3,1,3,5,8,3,5,5
290,GP,F,18,U,LE3,T,2,1,services,at_home,mother,1,2,1,no,no,no,no,yes,yes,yes,5,4,3,1,1,5,12,12,12,13
291,GP,M,18,U,LE3,T,4,4,teacher,teacher,mother,1,1,0,no,yes,yes,no,yes,yes,yes,1,4,2,2,2,1,5,16,15,16
292,GP,F,18,U,GT3,T,4,4,teacher,other,mother,1,2,0,no,yes,yes,no,yes,yes,no,4,4,4,3,3,5,2,11,11,11
293,GP,M,18,U,GT3,T,2,2,services,other,mother,1,2,1,no,yes,yes,yes,yes,yes,no,4,4,4,2,4,5,15,6,7,8
294,GP,M,18,U,GT3,T,2,1,other,other,mother,1,2,0,no,no,no,yes,yes,yes,no,5,2,4,1,2,4,8,15,14,14
295,GP,M,18,U,GT3,T,2,1,services,services,mother,1,1,1,no,no,no,no,no,yes,no,3,2,5,2,5,5,4,6,9,8
296,GP,M,18,U,GT3,T,4,3,teacher,other,mother,1,2,0,no,yes,yes,no,yes,yes,no,4,3,2,1,1,3,2,8,8,8
297,GP,M,18,R,GT3,T,3,2,other,other,mother,1,3,0,no,no,no,yes,yes,no,no,5,3,2,1,1,3,1,13,12,12
298,GP,F,18,U,GT3,T,2,2,at_home,services,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,4,3,3,1,1,3,0,9,10,0
299,GP,M,18,R,LE3,A,3,4,other,other,mother,2,2,0,no,yes,yes,yes,yes,yes,no,4,2,5,3,4,1,13,17,17,17
300,GP,M,18,U,GT3,T,4,2,health,other,father,1,2,0,no,yes,yes,yes,yes,yes,yes,5,4,5,1,3,5,10,10,9,10
301,GP,F,18,U,GT3,T,4,3,services,other,father,1,2,0,no,yes,yes,no,yes,yes,yes,3,1,2,1,3,2,21,17,18,18
302,GP,F,18,R,GT3,T,4,4,teacher,other,mother,2,2,0,no,no,yes,yes,yes,yes,no,4,3,4,2,2,4,8,12,10,11
303,MS,M,18,R,LE3,T,3,2,services,other,mother,3,1,0,no,no,no,no,yes,yes,no,4,4,1,3,4,5,0,11,12,10
304,GP,M,18,R,GT3,T,2,2,services,other,mother,1,1,2,no,yes,no,yes,yes,yes,no,3,3,3,1,2,4,0,7,4,0
305,GP,M,18,U,LE3,T,1,1,other,other,mother,1,1,3,no,no,no,no,no,yes,yes,2,3,5,2,5,4,0,6,5,0
306,GP,F,18,U,GT3,T,1,1,other,other,mother,2,2,0,yes,no,no,yes,yes,yes,no,5,4,4,1,1,4,4,8,9,10
307,GP,M,18,U,LE3,A,4,4,teacher,teacher,mother,1,2,0,no,yes,yes,yes,yes,yes,no,5,4,3,1,1,2,9,15,13,15
308,GP,F,18,R,GT3,T,3,1,other,other,mother,1,2,1,no,no,no,yes,yes,yes,yes,5,3,3,1,1,4,16,9,8,7
309,GP,F,18,U,LE3,T,4,3,other,other,other,2,2,0,no,yes,yes,no,yes,yes,yes,4,4,5,1,2,2,10,10,8,8
310,GP,M,18,U,LE3,T,2,1,at_home,other,mother,4,2,0,yes,yes,yes,yes,yes,yes,yes,4,3,2,4,5,3,14,10,8,9
311,GP,M,18,R,LE3,T,3,2,services,other,mother,2,3,0,no,yes,yes,yes,yes,yes,no,5,4,2,1,1,4,8,14,13,14
312,GP,F,18,R,GT3,T,1,1,at_home,other,mother,3,1,3,no,yes,no,yes,yes,no,no,5,2,5,1,5,4,6,9,8,10
313,GP,F,18,R,GT3,T,2,1,other,other,mother,2,2,0,no,yes,no,no,no,yes,yes,4,3,5,1,2,3,0,6,0,0
314,GP,M,18,U,GT3,T,3,2,services,other,mother,2,1,1,no,no,no,no,no,yes,no,4,4,5,2,4,5,0,6,8,8
315,GP,M,18,U,GT3,T,4,2,teacher,other,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,4,3,2,1,4,5,11,12,11,11
316,GP,M,18,U,GT3,T,2,1,services,services,mother,1,3,0,no,no,yes,yes,yes,yes,no,4,2,4,1,3,2,6,15,14,14
317,GP,F,18,U,LE3,A,4,4,health,other,mother,1,2,0,no,yes,no,no,yes,yes,yes,4,2,4,1,1,4,14,12,10,11
318,GP,F,18,U,GT3,T,2,4,services,at_home,other,1,2,1,no,yes,yes,yes,yes,yes,no,4,4,3,1,1,3,8,14,12,12
319,GP,F,18,R,LE3,T,1,1,at_home,other,mother,2,4,0,no,yes,yes,yes,yes,no,no,5,2,2,1,1,3,1,12,12,12
320,GP,F,18,U,GT3,T,2,3,other,services,father,1,4,0,no,yes,yes,yes,yes,yes,yes,4,5,5,1,3,2,4,15,14,14
321,GP,F,18,U,GT3,T,4,3,other,other,father,1,4,0,no,yes,yes,no,yes,yes,no,4,3,3,1,1,3,0,14,13,14
322,GP,M,18,U,LE3,T,4,3,teacher,services,mother,2,1,0,no,no,yes,yes,yes,yes,no,4,2,3,1,2,1,8,10,11,10
323,GP,F,18,U,GT3,T,4,4,health,health,father,1,2,1,yes,yes,no,yes,yes,yes,yes,2,4,4,1,1,4,15,9,8,8
324,GP,F,18,U,GT3,T,2,2,at_home,at_home,mother,1,3,0,no,yes,yes,no,yes,yes,no,4,3,3,1,2,2,5,18,18,19
325,GP,F,18,U,GT3,T,2,1,services,other,mother,2,2,0,no,yes,yes,yes,yes,yes,no,5,3,3,1,2,1,0,8,8,0
326,MS,F,18,R,LE3,A,1,4,at_home,other,mother,3,2,0,no,no,no,no,yes,no,yes,4,3,4,1,4,5,0,13,13,13
327,MS,M,18,R,LE3,T,1,1,at_home,other,mother,2,2,1,no,no,no,yes,no,no,no,4,4,3,2,3,5,2,13,12,12
328,MS,F,18,U,LE3,T,3,1,teacher,services,mother,1,2,0,no,yes,yes,no,yes,yes,no,4,3,4,1,1,1,0,7,9,8
329,GP,M,18,U,LE3,T,2,2,other,other,mother,1,4,0,no,yes,no,yes,yes,yes,no,4,5,5,2,4,5,2,9,8,8
330,MS,F,18,R,LE3,T,4,4,teacher,services,mother,1,2,0,no,no,yes,yes,yes,yes,no,5,4,3,3,4,2,4,8,9,10
331,MS,F,18,R,GT3,T,1,1,other,other,mother,4,3,0,no,no,no,no,yes,yes,no,4,3,2,1,2,4,2,8,8,10
332,GP,F,18,U,GT3,T,2,3,at_home,other,mother,1,3,0,no,yes,no,no,yes,yes,no,4,3,3,1,2,3,4,11,10,10
333,MS,M,18,U,LE3,T,1,3,at_home,services,mother,1,1,1,no,no,no,no,no,yes,yes,4,3,3,2,3,3,7,8,7,8
334,MS,F,18,R,GT3,T,4,4,other,teacher,father,3,2,0,no,yes,yes,no,yes,yes,yes,3,2,2,4,2,5,10,14,12,11
335,GP,M,18,U,GT3,T,4,4,other,other,mother,1,3,0,no,no,no,yes,yes,yes,no,4,3,3,2,2,3,3,9,12,11
336,MS,F,18,R,LE3,T,4,4,other,other,mother,2,3,0,no,no,no,no,yes,yes,no,5,4,4,1,1,1,0,19,18,19
337,GP,F,18,U,LE3,T,1,1,other,other,mother,2,2,0,no,yes,yes,no,yes,no,no,4,4,3,1,1,3,2,11,11,11
338,GP,M,18,U,GT3,T,4,3,teacher,other,mother,1,3,0,no,yes,yes,no,yes,yes,yes,5,4,5,2,3,5,0,10,10,9
339,MS,M,18,R,GT3,T,3,2,other,other,mother,2,1,1,no,yes,no,no,yes,yes,no,2,5,5,5,5,5,10,11,13,13
340,MS,M,18,U,LE3,T,1,1,other,services,father,2,1,0,no,no,no,no,yes,yes,yes,3,3,2,1,2,3,4,10,10,10
341,GP,F,18,R,GT3,T,2,2,at_home,other,mother,2,4,0,no,no,no,yes,yes,no,no,4,4,4,1,1,4,0,10,9,0
342,GP,F,18,U,LE3,T,2,2,other,other,other,1,2,0,no,no,no,yes,yes,yes,yes,4,3,3,1,1,2,0,8,8,0
343,GP,M,18,U,GT3,T,4,4,teacher,services,father,1,2,1,no,yes,no,yes,yes,yes,no,4,3,3,2,2,2,0,10,10,0
344,MS,F,18,U,GT3,T,1,1,other,other,mother,2,2,1,no,no,no,yes,yes,no,no,1,1,1,1,1,5,0,6,5,0
345,MS,M,18,R,LE3,T,1,2,at_home,services,father,3,1,0,no,yes,yes,yes,no,yes,yes,4,3,3,2,3,3,3,14,12,12
346,MS,M,18,U,GT3,T,4,4,teacher,teacher,father,1,2,0,no,no,yes,yes,yes,yes,no,3,2,4,1,4,2,4,15,14,14
347,MS,F,18,R,GT3,T,2,2,at_home,other,mother,2,3,0,no,no,yes,no,yes,no,no,5,3,3,1,3,4,2,10,9,10
348,MS,M,18,R,GT3,T,2,1,other,other,mother,2,1,0,no,no,no,yes,yes,yes,yes,4,4,3,1,3,5,5,7,6,7
349,GP,M,18,U,GT3,T,4,4,teacher,services,mother,2,1,0,no,no,yes,yes,yes,yes,no,3,2,4,1,4,3,22,9,9,9
350,GP,F,18,U,GT3,T,4,3,other,other,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,4,3,4,1,1,5,9,9,10,9
351,GP,F,18,U,GT3,A,4,4,at_home,teacher,mother,2,2,0,yes,no,no,no,yes,no,no,4,3,4,1,1,3,6,5,6,6
352,MS,F,18,U,GT3,T,3,3,other,other,mother,1,2,0,no,no,yes,no,yes,yes,yes,4,1,3,1,2,1,0,15,15,15
353,GP,M,18,U,LE3,T,3,4,services,other,mother,1,2,0,no,no,no,yes,yes,yes,yes,4,3,3,1,3,5,11,16,15,15
354,GP,F,18,U,GT3,T,3,2,other,services,mother,1,3,0,no,no,no,no,yes,yes,yes,5,4,3,2,3,1,7,13,13,14
355,GP,M,18,R,GT3,T,4,3,teacher,services,mother,1,3,0,no,no,no,no,yes,yes,yes,5,3,2,1,2,4,9,16,15,16
356,MS,F,18,U,GT3,T,3,3,services,services,mother,2,2,0,no,yes,no,no,yes,yes,yes,4,3,2,1,3,3,0,11,11,10
357,MS,F,18,U,GT3,T,2,3,at_home,services,father,2,1,0,no,yes,yes,no,yes,yes,yes,5,2,3,1,2,4,0,11,10,10
358,MS,M,18,R,GT3,T,1,3,at_home,other,mother,2,2,0,no,yes,yes,no,yes,no,no,3,3,4,2,4,3,4,10,10,10
359,MS,F,18,U,GT3,T,3,3,services,services,father,1,2,0,no,yes,no,no,yes,no,yes,5,3,4,1,1,5,0,10,9,9
360,GP,F,18,R,GT3,A,3,2,other,services,mother,2,2,0,no,no,no,no,no,yes,yes,4,1,1,1,1,5,75,10,9,9
361,GP,F,18,U,GT3,T,3,3,services,services,mother,1,2,0,no,no,no,yes,yes,yes,no,5,3,4,1,1,4,0,7,0,0
362,MS,M,18,R,GT3,T,4,2,other,other,father,2,1,1,no,no,yes,no,yes,no,no,5,4,3,4,3,3,14,6,5,5
363,GP,F,18,U,LE3,T,3,3,services,services,mother,1,4,0,no,yes,no,no,yes,yes,no,5,3,3,1,1,1,7,16,15,17
364,MS,F,18,U,LE3,T,1,1,at_home,services,father,2,3,0,no,no,no,no,yes,yes,no,5,3,2,1,1,4,0,18,16,16
365,MS,F,18,R,GT3,T,4,4,teacher,at_home,mother,3,1,0,no,yes,yes,yes,yes,yes,yes,4,4,3,2,2,5,7,6,5,6
366,MS,M,18,U,LE3,T,4,4,teacher,services,mother,2,3,0,no,no,yes,no,yes,yes,yes,4,2,2,2,2,5,0,13,13,13
367,GP,M,19,U,LE3,A,4,3,services,at_home,mother,1,2,0,no,yes,no,no,yes,yes,no,4,3,1,1,1,1,12,11,11,11
368,GP,F,19,R,GT3,A,3,1,services,at_home,other,1,3,1,no,no,yes,no,yes,no,no,5,4,3,1,2,5,12,14,13,13
369,GP,M,19,U,GT3,T,4,4,teacher,services,other,2,1,1,no,yes,yes,no,yes,yes,yes,4,3,4,1,1,4,38,8,9,8
370,MS,M,19,R,GT3,T,1,1,other,other,other,3,1,1,no,yes,no,no,yes,yes,no,4,4,4,3,3,5,4,8,8,8
371,GP,M,19,R,GT3,T,3,3,other,services,father,1,2,1,no,no,no,yes,yes,no,yes,4,5,3,1,2,5,0,15,12,12
372,MS,M,19,U,LE3,T,1,1,other,at_home,father,1,1,0,no,no,no,no,yes,yes,no,3,2,3,3,3,5,5,8,9,9
373,MS,M,19,R,GT3,T,1,1,other,services,other,3,2,3,no,no,no,no,yes,yes,no,5,4,4,3,3,2,8,8,7,8
374,GP,F,19,U,GT3,T,2,1,services,services,other,1,3,1,no,no,yes,yes,yes,yes,yes,4,3,4,1,3,3,4,11,12,11
375,GP,F,19,U,GT3,T,3,3,other,services,other,1,2,2,no,yes,yes,yes,yes,yes,no,4,3,5,3,3,5,15,9,9,9
376,GP,F,19,U,GT3,T,4,4,health,other,other,2,2,0,no,yes,yes,yes,yes,yes,no,2,3,4,2,3,2,0,10,9,0
377,MS,F,19,U,LE3,T,3,2,services,services,other,2,2,2,no,no,no,yes,yes,no,yes,3,2,2,1,1,3,4,7,7,9
378,GP,M,19,U,GT3,T,3,3,other,other,other,1,2,1,no,yes,no,yes,yes,yes,yes,4,4,4,1,1,3,20,15,14,13
379,MS,F,19,R,GT3,T,2,3,services,other,mother,1,3,1,no,no,no,yes,yes,yes,no,5,4,2,1,2,5,0,7,5,0
380,GP,F,19,U,GT3,T,3,3,other,other,other,1,4,0,no,yes,yes,yes,yes,yes,no,4,3,3,1,2,3,10,8,8,8
